player_id,num_games,win_rate,variance,profit,avg_bet,streak_length,is_skilled
0,229,0.444,0.247,637,380,11,0
1,166,0.597,0.053,4151,307,8,1
2,207,0.533,0.078,2212,363,6,1
3,285,0.501,0.32,-855,237,14,0
4,224,0.506,0.197,5230,180,5,1
5,184,0.47,0.229,1894,389,12,0
6,237,0.499,0.21,-2115,255,1,0
7,99,0.512,0.128,4637,155,4,1
8,270,0.572,0.063,3257,264,12,1
9,239,0.45,0.281,-3166,102,8,0
10,266,0.56,0.071,355,64,13,1
11,138,0.529,0.419,1775,338,11,0
12,283,0.458,0.459,-618,377,12,0
13,82,0.545,0.099,2384,148,12,1
14,263,0.548,0.068,4505,180,1,1
15,267,0.461,0.212,-1687,256,10,0
16,173,0.507,0.126,4563,271,5,1
17,280,0.574,0.269,-1036,209,7,0
18,292,0.525,0.461,2316,77,12,0
19,133,0.553,0.171,4452,397,9,1
20,239,0.487,0.328,-735,165,13,0
21,52,0.5,0.325,-469,214,1,0
22,283,0.523,0.297,-332,145,8,0
23,229,0.513,0.489,-148,344,2,0
24,162,0.478,0.304,-168,434,3,0
25,179,0.475,0.133,5220,296,4,1
26,252,0.434,0.441,-1336,374,4,0
27,247,0.587,0.17,2415,250,12,1
28,119,0.539,0.298,862,469,3,0
29,244,0.534,0.064,4644,466,8,1
30,88,0.527,0.189,2516,347,3,1
31,193,0.511,0.359,2614,51,1,0
32,189,0.58,0.078,3228,282,3,1
33,97,0.505,0.321,211,210,8,0
34,124,0.576,0.106,5682,148,9,1
35,195,0.509,0.408,-2433,257,13,0
36,277,0.451,0.298,1574,453,8,0
37,185,0.563,0.135,4410,492,3,1
38,168,0.566,0.197,752,100,6,1
39,76,0.492,0.147,1728,416,1,1
40,110,0.639,0.431,-62,66,12,0
41,207,0.546,0.195,4110,148,12,1
42,165,0.458,0.455,-3029,305,3,0
43,67,0.571,0.154,3138,409,14,1
44,163,0.552,0.182,1285,322,8,1
45,186,0.452,0.288,2764,296,10,0
46,99,0.526,0.439,7705,370,8,0
47,287,0.557,0.101,3264,141,2,1
48,81,0.535,0.12,3122,112,14,1
49,199,0.479,0.211,160,375,6,0
50,237,0.548,0.281,-1021,157,5,0
51,245,0.48,0.323,876,404,7,0
52,101,0.511,0.162,14,395,5,1
53,166,0.546,0.153,1809,178,10,1
54,50,0.504,0.064,2485,138,8,1
55,166,0.514,0.397,4489,118,6,0
56,296,0.504,0.248,-1185,135,9,0
57,255,0.535,0.304,1199,303,14,0
58,72,0.484,0.205,1049,196,10,0
59,50,0.608,0.142,3620,385,7,1
60,290,0.56,0.17,4389,445,2,1
61,173,0.511,0.446,-541,317,3,0
62,210,0.443,0.282,1182,61,14,0
63,292,0.504,0.148,4675,142,10,1
64,139,0.513,0.124,1763,363,5,1
65,286,0.563,0.132,2881,406,9,1
66,241,0.598,0.069,3791,145,8,1
67,239,0.423,0.404,726,328,9,0
68,154,0.532,0.349,-4508,266,6,0
69,236,0.52,0.403,-249,101,3,0
70,160,0.584,0.082,6214,102,7,1
71,106,0.604,0.195,3606,58,10,1
72,285,0.552,0.114,3090,217,10,1
73,227,0.421,0.374,158,414,1,0
74,293,0.559,0.139,2719,341,6,1
75,208,0.48,0.156,2472,251,10,1
76,88,0.421,0.322,-844,175,10,0
77,269,0.569,0.162,3804,436,13,1
78,239,0.534,0.062,-688,466,6,1
79,183,0.405,0.213,1198,262,11,0
80,278,0.575,0.061,1400,96,9,1
81,63,0.455,0.421,3051,61,10,0
82,65,0.547,0.143,4464,57,10,1
83,213,0.486,0.138,2211,269,5,1
84,277,0.404,0.444,724,269,13,0
85,95,0.584,0.476,-3460,59,8,0
86,291,0.513,0.112,3284,423,1,1
87,273,0.532,0.174,5154,226,13,1
88,147,0.517,0.425,3823,308,5,0
89,278,0.546,0.313,1625,134,14,0
90,159,0.458,0.262,-1872,498,1,0
